file,rel_file,x_col,y_col,y_raw_col,status,detected,plot,debug_csv,window,model_improve_min,model_contrast_min,depth_min,depth_bilateral_min,plateau_pad_points,plateau_pad_x_frac,start_idx,end_idx,start_x,end_x,x_span,mean_y,min_y,score
detrended_csv_per_star0/lc_star0008_det.csv_corrected.csv,lc_star0008_det.csv_corrected.csv,time,flux_corrected,flux,ok,True,output/plots/lc_star0008_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,16.0,30.0,2459730.133622685,2459730.163599537,0.029976852238178253,0.9988398542477435,0.9929024507248534,0.03294577969838758
detrended_csv_per_star0/lc_star0024_det.csv_corrected.csv,lc_star0024_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0024_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0092_det.csv_corrected.csv,lc_star0092_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0092_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0084_det.csv_corrected.csv,lc_star0084_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0084_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0032_det.csv_corrected.csv,lc_star0032_det.csv_corrected.csv,time,flux_corrected,flux,ok,True,output/plots/lc_star0032_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,14.0,55.0,2459730.1293055555,2459730.2169675925,0.08766203699633479,0.9986555048835759,0.9982156082302729,0.7349506553558106
detrended_csv_per_star0/lc_star0103_det.csv_corrected.csv,lc_star0103_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0103_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0016_det.csv_corrected.csv,lc_star0016_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0016_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0078_det.csv_corrected.csv,lc_star0078_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0078_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0115_det.csv_corrected.csv,lc_star0115_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0115_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0054_det.csv_corrected.csv,lc_star0054_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0054_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0042_det.csv_corrected.csv,lc_star0042_det.csv_corrected.csv,time,flux_corrected,flux,ok,True,output/plots/lc_star0042_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,41.0,90.0,2459730.187152778,2459730.2915046294,0.10435185162350535,1.0001269954252003,1.0000836759537632,0.8278482606001449
detrended_csv_per_star0/lc_star0083_det.csv_corrected.csv,lc_star0083_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0083_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0035_det.csv_corrected.csv,lc_star0035_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0035_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0023_det.csv_corrected.csv,lc_star0023_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0023_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0095_det.csv_corrected.csv,lc_star0095_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0095_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0120_det.csv_corrected.csv,lc_star0120_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0120_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
